total_events,file_created,file_modified,file_deleted,file_renamed,unique_files_modified,process_events,network_events,established_connections,unique_remote_ips,label
20,1,5,1,0,3,3,2,3,1,0
21,2,4,0,0,2,2,7,4,2,0
10,0,6,0,0,3,4,6,2,2,0
26,2,6,0,0,4,2,1,4,2,0
17,0,7,0,0,1,6,7,3,3,0
26,0,4,0,0,2,4,2,1,2,0
24,1,4,1,0,2,5,1,2,2,0
28,2,7,1,0,1,6,7,3,3,0
19,2,3,1,0,2,5,1,3,3,0
27,2,5,0,0,4,2,9,3,3,0
17,1,4,0,0,3,6,3,3,1,0
24,1,5,0,0,4,7,8,2,3,0
29,0,5,1,0,1,7,7,4,2,0
16,0,3,0,0,1,4,3,4,1,0
27,1,5,0,0,3,6,4,3,2,0
12,2,3,0,0,3,5,5,1,2,0
18,1,7,0,0,4,4,4,2,2,0
26,1,5,1,0,4,4,7,4,1,0
28,0,3,1,0,1,3,9,3,1,0
20,1,7,1,0,2,3,2,3,1,0
15,1,4,1,0,1,3,4,1,2,0
26,0,3,0,0,2,3,7,1,2,0
15,2,7,1,0,2,5,9,1,3,0
22,0,3,1,0,1,5,2,4,2,0
10,2,4,0,0,4,4,5,3,3,0
26,2,5,0,0,4,4,6,2,3,0
14,0,7,1,0,4,5,3,3,3,0
22,2,2,1,0,1,3,2,1,1,0
17,0,2,0,0,1,6,8,2,1,0
12,1,4,0,0,4,5,3,2,2,0
21,2,3,0,0,3,4,1,1,1,0
26,2,3,1,0,2,4,8,3,1,0
14,1,2,1,0,2,2,2,1,3,0
18,0,4,1,0,3,3,7,1,3,0
16,1,3,0,0,1,2,3,4,2,0
27,2,4,1,0,4,4,2,3,2,0
23,2,2,1,0,2,5,2,3,1,0
17,1,4,0,0,3,5,7,3,1,0
22,1,5,0,0,4,6,2,3,3,0
11,1,3,0,0,3,6,2,4,3,0
16,1,4,1,0,1,7,1,1,2,0
21,0,6,1,0,4,5,9,2,2,0
16,0,2,0,0,2,2,3,1,2,0
27,1,7,1,0,1,2,1,1,2,0
24,0,2,0,0,2,5,5,1,1,0
15,2,4,1,0,3,7,8,3,2,0
11,0,6,0,0,4,5,8,4,1,0
28,0,7,1,0,2,4,2,1,2,0
26,1,2,0,0,2,7,5,1,2,0
18,2,2,1,0,2,2,3,2,2,0
26,2,7,1,0,3,7,8,1,3,0
18,1,2,0,0,2,4,9,4,3,0
18,2,4,0,0,2,5,9,3,1,0
20,2,6,1,0,4,5,6,4,3,0
25,1,6,1,0,2,6,5,1,1,0
17,0,3,1,0,2,6,3,2,3,0
17,2,3,0,0,1,2,6,4,3,0
10,2,5,0,0,4,2,9,1,2,0
15,2,5,0,0,3,6,9,3,3,0
19,2,3,0,0,2,3,4,2,2,0
21,2,6,1,0,4,6,1,1,1,0
22,2,3,1,0,2,4,7,2,1,0
24,1,3,0,0,1,7,4,4,2,0
26,1,5,0,0,2,7,1,2,2,0
27,1,4,1,0,4,6,4,3,3,0
21,2,5,0,0,3,2,6,3,3,0
20,1,4,0,0,2,3,2,1,1,0
22,0,4,0,0,3,6,4,4,2,0
29,1,7,0,0,3,4,1,2,1,0
24,0,6,0,0,4,7,3,1,1,0
10,1,4,1,0,2,3,3,4,1,0
21,1,2,0,0,2,4,8,4,2,0
26,0,2,0,0,2,4,2,4,3,0
21,0,4,1,0,4,3,3,4,2,0
23,2,2,0,0,2,5,4,4,1,0
25,0,7,1,0,3,7,6,1,1,0
17,2,3,1,0,1,2,8,1,2,0
49,6,8,2,0,5,17,11,2,4,0
57,13,5,1,0,3,5,14,2,2,0
51,19,8,1,1,6,5,12,3,4,0
52,6,3,0,0,7,18,3,6,4,0
45,10,9,1,1,4,18,12,3,3,0
53,14,9,0,1,5,17,5,4,2,0
28,10,3,2,0,3,6,14,3,4,0
39,18,9,2,0,5,8,6,7,2,0
41,14,9,2,0,3,16,12,7,3,0
37,10,6,2,1,7,13,5,3,3,0
55,17,7,2,0,5,16,4,7,2,0
38,10,7,0,0,5,16,12,4,3,0
48,10,9,2,0,6,5,7,3,1,0
43,8,7,1,1,6,12,4,2,3,0
51,13,6,1,0,4,8,4,3,4,0
25,11,4,2,0,4,10,14,4,1,0
37,12,7,2,0,5,14,10,5,4,0
49,11,4,1,1,4,11,7,6,2,0
33,12,9,0,1,4,11,8,2,3,0
44,13,6,1,0,7,9,3,5,4,0
55,17,9,2,0,5,14,5,7,2,0
35,14,7,1,1,3,5,7,5,4,0
31,5,3,1,1,6,13,13,6,3,0
56,16,7,0,0,6,12,14,7,4,0
39,6,8,1,0,7,8,12,6,1,0
54,10,7,0,0,7,5,3,4,2,0
31,14,6,0,1,5,15,4,2,2,0
48,13,9,2,1,5,6,9,5,2,0
39,11,8,0,1,4,14,14,3,1,0
20,11,7,1,0,4,5,9,3,3,0
29,18,4,1,0,4,12,10,2,4,0
46,12,3,1,1,3,5,5,7,1,0
24,13,4,1,1,4,6,8,2,1,0
44,17,3,0,0,3,15,6,3,1,0
57,18,6,1,0,4,6,11,4,1,0
30,5,8,1,0,3,9,3,5,2,0
26,19,7,2,1,7,13,3,2,4,0
54,16,8,1,0,5,12,12,3,2,0
28,7,7,1,1,4,10,14,6,1,0
45,13,6,0,1,7,19,14,5,3,0
42,10,8,1,1,5,15,7,4,3,0
35,19,7,2,0,6,15,5,5,1,0
32,10,5,1,1,7,8,7,5,2,0
46,17,9,2,1,4,8,4,3,1,0
32,8,4,0,1,5,11,14,3,3,0
32,19,9,2,1,3,14,12,5,4,0
23,10,9,1,0,6,12,12,4,1,0
41,10,7,1,1,3,14,11,3,4,0
27,12,3,1,0,7,8,4,4,4,0
58,14,3,1,0,6,14,3,3,1,0
54,16,4,0,0,7,5,8,6,3,0
54,16,9,2,1,3,18,11,7,1,0
21,7,9,0,1,5,14,8,6,3,0
30,11,6,1,0,6,14,8,3,4,0
58,17,8,0,0,6,7,11,2,3,0
25,13,9,0,0,6,6,14,6,4,0
46,9,8,1,0,6,17,12,4,2,0
25,6,9,1,1,3,7,4,7,4,0
27,10,6,1,1,7,17,11,3,2,0
49,13,9,0,1,6,12,6,4,4,0
18,0,2,0,0,2,9,5,4,0,0
13,1,0,0,0,1,7,1,0,0,0
16,1,3,0,0,1,6,5,3,0,0
11,1,0,0,0,1,2,4,1,2,0
13,0,0,0,0,2,4,3,1,1,0
11,1,2,0,0,1,4,6,3,0,0
8,1,3,0,0,2,2,1,1,0,0
7,1,3,0,0,1,7,5,2,2,0
8,1,0,0,0,2,6,2,1,2,0
6,0,1,0,0,1,5,1,1,0,0
6,0,0,0,0,1,2,3,0,1,0
10,1,0,0,0,2,4,0,0,0,0
9,1,3,0,0,0,3,3,0,2,0
8,0,3,0,0,0,8,5,3,1,0
17,1,2,0,0,1,9,4,2,1,0
6,1,2,0,0,2,8,2,4,2,0
6,1,0,0,0,1,7,2,1,0,0
19,1,2,0,0,0,8,2,0,2,0
9,0,3,0,0,1,7,2,3,0,0
8,1,2,0,0,0,6,6,3,0,0
8,1,3,0,0,1,8,1,4,2,0
18,1,0,0,0,2,8,2,3,1,0
18,0,0,0,0,0,7,4,1,1,0
15,0,1,0,0,1,8,4,1,2,0
14,1,2,0,0,0,2,4,4,1,0
6,0,0,0,0,0,3,4,4,0,0
7,0,3,0,0,2,8,4,3,2,0
9,1,1,0,0,1,5,7,3,1,0
12,0,0,0,0,0,5,4,1,0,0
14,0,0,0,0,0,9,0,0,0,0
5,1,3,0,0,0,2,1,1,1,0
16,1,0,0,0,2,8,1,2,1,0
12,0,2,0,0,0,5,6,4,2,0
9,1,3,0,0,0,8,4,4,0,0
11,0,0,0,0,0,4,7,2,0,0
9,1,0,0,0,1,8,5,3,2,0
8,0,2,0,0,2,4,3,2,2,0
14,0,0,0,0,1,7,7,1,1,0
19,1,3,0,0,0,8,7,0,0,0
6,0,1,0,0,2,2,3,3,1,0
13,0,0,0,0,1,8,5,1,1,0
9,1,3,0,0,2,9,1,4,0,0
19,1,3,0,0,1,4,1,0,1,0
11,0,0,0,0,2,7,3,1,0,0
6,1,3,0,0,1,5,4,3,2,0
18,0,3,0,0,0,4,1,0,0,0
19,1,0,0,0,0,7,4,3,2,0
10,1,2,0,0,0,7,3,4,0,0
6,1,0,0,0,0,8,3,2,1,0
19,0,2,0,0,2,9,3,4,1,0
15,0,0,0,0,0,9,2,2,2,0
17,1,2,0,0,2,2,7,4,2,0
12,1,1,0,0,0,5,4,2,0,0
8,1,2,0,0,1,3,2,0,1,0
9,1,1,0,0,2,4,2,1,0,0
17,0,3,0,0,1,3,1,1,1,0
16,0,1,0,0,1,2,1,4,0,0
8,0,3,0,0,2,8,6,2,0,0
14,1,2,0,0,0,5,3,1,1,0
7,1,0,0,0,1,6,5,4,1,0
10,1,3,0,0,0,6,3,0,2,0
11,1,0,0,0,1,4,7,4,1,0
11,1,3,0,0,1,9,1,1,2,0
19,1,3,0,0,2,2,6,2,1,0
12,0,3,0,0,1,3,5,4,2,0
8,1,2,0,0,0,5,5,0,2,0
5,1,2,0,0,0,4,3,2,2,0
15,0,3,0,0,1,6,0,0,1,0
8,1,3,0,0,2,4,6,3,2,0
11,0,1,0,0,0,2,3,4,1,0
6,0,0,0,0,2,2,5,4,1,0
5,0,0,0,0,2,6,2,1,2,0
18,1,2,0,0,0,6,7,4,0,0
9,1,3,0,0,0,5,5,1,1,0
11,0,1,0,0,2,2,7,0,1,0
13,1,1,0,0,0,8,3,0,0,0
18,1,3,0,0,1,7,5,3,2,0
7,0,3,0,0,1,9,1,1,0,0
17,1,3,0,0,0,6,3,2,1,0
14,0,0,0,0,0,5,1,0,2,0
15,2,9,2,1,4,6,6,2,2,0
23,0,10,0,1,6,4,6,3,1,0
33,0,7,2,0,2,7,5,1,1,0
10,1,11,0,1,3,3,7,3,1,0
33,0,3,0,0,3,6,3,3,1,0
31,0,9,0,1,7,4,2,2,1,0
11,1,7,0,1,3,4,4,1,1,0
21,3,8,2,1,7,6,4,2,1,0
26,1,5,2,0,5,4,5,2,2,0
24,3,8,0,0,7,6,5,2,1,0
17,1,11,1,0,3,3,7,3,2,0
19,0,3,2,1,3,3,4,2,1,0
14,0,5,2,1,5,4,5,4,1,0
14,0,6,2,0,6,4,3,4,2,0
21,1,8,2,1,4,7,4,3,2,0
15,0,10,0,0,6,6,4,1,2,0
23,1,8,2,1,2,6,4,2,1,0
22,0,3,2,0,3,7,3,4,2,0
35,2,8,2,0,4,7,2,3,1,0
34,1,6,1,1,6,7,4,1,2,0
29,1,11,1,0,5,6,2,3,2,0
30,1,11,1,0,5,6,7,2,2,0
37,1,7,1,0,6,5,5,2,1,0
24,1,5,1,0,2,3,6,4,1,0
10,1,5,0,1,3,4,4,4,2,0
15,0,9,0,1,4,6,3,1,1,0
24,2,8,0,0,2,7,6,2,2,0
21,0,6,2,0,4,6,6,3,2,0
10,1,5,2,0,4,5,3,4,2,0
23,3,8,0,1,7,5,4,2,1,0
26,0,6,1,1,6,3,4,2,1,0
19,0,5,0,1,5,7,7,3,1,0
34,3,9,2,0,5,7,6,4,2,0
39,0,3,0,1,2,6,2,2,1,0
12,0,7,2,1,7,3,5,3,2,0
11,0,10,0,1,7,3,6,2,1,0
20,1,5,1,1,5,7,6,4,2,0
12,0,7,0,0,2,7,2,4,1,0
11,0,3,0,1,3,6,7,4,2,0
28,1,11,0,1,6,5,7,4,1,0
13,0,5,2,1,5,6,7,4,1,0
31,1,5,1,1,3,5,2,1,2,0
15,1,9,1,0,3,3,6,4,2,0
28,3,10,1,0,2,7,6,1,1,0
23,2,10,0,1,2,7,6,2,1,0
39,0,3,2,1,3,3,3,3,1,0
26,1,7,1,0,7,3,2,4,1,0
18,0,3,0,1,3,5,4,3,1,0
16,4,11,2,1,4,5,6,3,2,0
17,0,3,2,1,3,7,6,4,1,0
42,17,1,0,0,2,4,1,0,0,0
17,13,2,0,0,1,3,1,0,0,0
32,5,3,0,0,1,2,1,1,0,0
39,5,3,0,0,1,1,2,0,0,0
37,12,3,0,0,0,1,1,0,0,0
24,13,1,0,0,2,1,0,1,0,0
11,7,2,0,0,0,2,1,1,0,0
18,13,3,0,0,2,4,1,0,0,0
11,17,2,0,0,3,2,1,0,0,0
21,7,2,0,0,0,3,0,0,0,0
35,9,4,0,0,1,1,2,0,0,0
34,11,0,0,0,1,4,0,1,0,0
27,8,2,0,0,0,3,0,0,0,0
47,14,3,0,0,3,2,2,0,0,0
37,16,0,0,0,2,3,2,1,0,0
41,14,2,0,0,0,2,0,1,0,0
48,6,3,0,0,0,3,0,1,0,0
10,5,3,0,0,2,1,1,1,0,0
27,16,2,0,0,2,3,2,0,0,0
20,5,0,0,0,1,4,0,1,0,0
43,8,3,0,0,1,1,2,1,0,0
14,18,2,0,0,2,3,0,1,0,0
35,15,2,0,0,3,3,1,0,0,0
15,15,4,0,0,2,1,1,1,0,0
46,14,4,0,0,0,2,0,0,0,0
32,10,3,0,0,1,4,0,0,0,0
38,17,2,0,0,2,2,0,0,0,0
41,10,3,0,0,0,1,0,0,0,0
22,6,4,0,0,1,1,2,0,0,0
12,14,1,0,0,3,1,2,1,0,0
30,18,3,0,0,0,4,2,0,0,0
13,7,0,0,0,3,3,0,0,0,0
22,19,1,0,0,2,4,2,0,0,0
26,7,3,0,0,1,4,1,0,0,0
33,14,2,0,0,0,3,0,1,0,0
37,9,0,0,0,0,4,1,0,0,0
36,9,1,0,0,2,2,0,0,0,0
21,10,4,0,0,1,3,2,1,0,0
14,5,3,0,0,0,2,1,1,0,0
15,5,2,0,0,2,2,1,0,0,0
45,10,2,0,0,0,2,2,0,0,0
36,15,0,0,0,2,2,0,0,0,0
23,15,1,0,0,3,3,2,0,0,0
13,11,4,0,0,2,4,2,0,0,0
17,8,4,0,0,0,1,0,0,0,0
41,12,2,0,0,2,2,2,0,0,0
14,17,4,0,0,2,3,1,1,0,0
31,17,2,0,0,2,2,1,1,0,0
30,16,1,0,0,0,4,2,1,0,0
39,13,2,0,0,2,2,1,0,0,0
79,6,151,0,63,85,1,4,0,4,1
281,7,31,8,9,27,4,2,1,0,1
223,13,51,5,26,48,3,7,2,3,1
222,31,124,2,88,91,6,1,7,0,1
283,15,107,1,17,48,2,12,7,3,1
88,2,55,6,29,48,6,6,2,4,1
88,0,79,4,40,67,5,2,0,0,1
130,9,54,3,22,45,6,3,3,1,1
227,11,73,3,23,28,6,13,6,3,1
108,22,98,1,41,91,7,14,5,1,1
297,33,222,8,43,96,1,14,0,0,1
67,5,89,7,21,40,6,4,3,0,1
206,27,216,8,26,78,3,2,0,2,1
221,3,129,2,28,48,3,0,5,3,1
214,16,124,8,30,65,7,6,4,4,1
150,0,50,0,12,27,7,8,5,0,1
133,11,71,9,27,35,5,5,7,3,1
148,14,72,2,24,55,1,12,1,4,1
149,1,42,8,17,27,6,10,5,0,1
286,1,67,7,26,59,7,3,1,2,1
119,11,85,4,41,42,6,5,0,3,1
284,2,47,8,27,35,6,5,1,4,1
96,20,131,4,56,58,2,5,0,3,1
187,2,52,2,23,28,6,0,3,3,1
78,10,62,3,37,38,4,9,5,0,1
168,27,113,0,89,98,4,10,5,4,1
236,14,149,8,51,56,5,5,6,4,1
82,6,95,4,16,39,5,6,3,2,1
209,10,94,0,51,87,1,7,7,4,1
181,2,170,1,51,73,5,14,3,3,1
139,7,26,6,10,18,4,1,2,3,1
282,16,94,9,23,36,7,9,0,1,1
187,12,49,4,20,39,4,14,6,3,1
284,0,137,3,66,89,6,11,0,0,1
291,25,172,1,24,60,4,3,0,2,1
210,26,82,9,42,68,6,4,5,1,1
251,45,232,2,59,92,6,12,7,3,1
258,15,121,1,25,47,7,11,3,0,1
117,2,89,7,21,30,3,4,0,1,1
264,6,58,5,14,33,4,2,4,2,1
156,10,83,1,11,31,7,7,4,1,1
271,3,51,0,17,22,7,0,2,3,1
186,4,131,3,55,58,4,11,1,2,1
265,41,202,1,87,99,3,5,4,2,1
157,12,90,3,35,81,6,7,6,2,1
292,0,79,8,44,48,7,0,2,3,1
166,2,50,1,23,34,4,12,3,4,1
117,0,209,0,89,96,2,12,3,3,1
108,10,64,8,12,24,2,0,0,1,1
270,3,123,7,38,55,3,11,1,2,1
158,11,79,6,17,33,2,7,4,4,1
181,22,197,3,44,92,2,3,4,4,1
90,2,60,8,17,22,4,9,6,2,1
178,2,74,7,50,51,5,7,7,1,1
116,1,40,4,13,18,4,6,4,4,1
111,5,167,8,31,67,7,6,5,4,1
261,2,202,2,46,75,7,3,3,3,1
292,3,92,4,29,52,7,9,1,4,1
161,18,116,8,28,39,3,14,5,3,1
65,23,74,4,37,53,1,10,6,1,1
81,33,96,0,39,88,2,5,0,0,1
97,24,204,4,63,82,6,0,0,0,1
85,16,191,7,22,65,7,6,2,0,1
171,6,93,0,13,37,3,8,4,0,1
119,5,46,3,11,27,1,14,0,3,1
158,22,124,0,36,61,3,9,6,3,1
145,3,63,0,33,46,3,3,2,1,1
63,1,107,6,18,47,3,12,2,0,1
217,18,179,0,25,63,3,5,7,4,1
239,34,224,9,50,78,4,14,3,3,1
51,4,108,6,25,37,7,2,1,2,1
259,19,136,0,32,65,6,4,2,4,1
189,16,46,0,17,41,1,11,5,4,1
82,18,195,1,53,73,7,6,3,0,1
133,5,33,6,22,27,7,2,7,4,1
78,9,90,7,20,34,1,1,5,1,1
205,40,164,9,46,83,1,0,2,0,1
120,2,99,1,54,90,3,1,3,1,1
71,25,94,6,43,52,5,14,5,3,1
231,19,162,2,37,55,3,14,1,4,1
199,2,53,9,24,48,1,5,0,2,1
51,28,137,2,49,73,1,9,4,2,1
228,15,56,7,33,36,4,1,5,0,1
242,16,86,3,20,42,1,8,3,2,1
187,3,23,9,10,15,6,0,1,1,1
103,17,75,3,39,41,5,14,0,3,1
181,12,37,9,27,29,4,0,2,0,1
219,17,138,7,40,55,7,3,6,0,1
92,33,122,1,29,83,6,9,0,2,1
131,13,77,6,19,30,2,5,6,2,1
236,12,95,2,25,50,6,0,6,2,1
228,9,38,8,19,22,6,10,0,0,1
77,32,110,8,41,74,3,4,1,4,1
156,35,185,4,38,72,4,1,1,2,1
234,12,75,5,30,72,5,10,5,3,1
178,2,258,1,87,93,1,5,5,4,1
182,16,116,4,31,43,7,2,4,3,1
84,3,165,0,43,97,4,10,7,1,1
202,12,91,6,16,37,4,13,1,0,1
88,15,168,0,44,72,5,8,5,2,1
88,21,89,5,20,49,2,6,0,3,1
244,29,150,5,39,94,5,14,4,4,1
95,19,68,0,37,46,5,1,4,3,1
143,5,85,0,26,32,6,10,7,1,1
171,9,206,3,63,92,1,9,3,2,1
216,18,209,7,37,92,3,12,0,0,1
274,18,149,7,71,76,2,0,4,1,1
295,0,60,0,15,27,2,0,6,4,1
75,2,89,9,75,83,7,4,0,0,1
66,24,206,4,67,76,2,11,7,0,1
205,8,187,7,22,68,5,8,5,0,1
167,8,147,2,22,65,1,12,6,2,1
230,8,64,1,23,25,2,7,5,3,1
153,14,186,8,67,71,2,1,4,4,1
69,28,215,9,59,93,3,2,2,2,1
111,3,128,3,33,69,2,14,2,2,1
284,1,105,0,22,44,4,14,3,1,1
297,14,122,8,60,75,1,9,1,4,1
111,6,154,9,35,59,3,4,2,3,1
108,6,51,5,42,43,2,0,7,2,1
113,3,96,9,22,35,2,12,4,2,1
65,7,171,8,61,68,5,10,1,3,1
93,10,38,0,17,24,2,1,3,2,1
195,16,98,5,36,37,7,2,5,2,1
178,29,223,9,70,75,5,10,3,1,1
256,14,198,6,27,67,4,9,4,3,1
210,27,225,0,66,90,7,5,5,4,1
145,2,39,7,24,35,2,5,0,2,1
248,7,119,5,31,43,2,7,2,0,1
174,26,87,9,24,68,5,10,2,4,1
162,2,78,4,19,27,6,14,3,4,1
