session_id,window_id,scenario_id,label,total_events,file_created,file_modified,file_deleted,file_renamed,unique_files_modified,process_events,network_events,established_connections,unique_remote_ips
S_0064,S_0064_W01,R1,1,9,0,9,0,0,9,0,0,0,0
S_0065,S_0065_W01,R1,1,11,0,11,0,0,11,0,0,0,0
S_0066,S_0066_W01,R1,1,8,0,8,0,0,8,0,0,0,0
S_0067,S_0067_W01,R2,1,20,0,20,0,0,20,0,0,0,0
S_0068,S_0068_W01,R2,1,25,0,25,0,0,25,0,0,0,0
S_0069,S_0069_W01,R2,1,30,0,30,0,0,30,0,0,0,0
S_0070,S_0070_W01,R2,1,22,0,22,0,0,22,0,0,0,0
S_0071,S_0071_W01,R2,1,28,0,28,0,0,28,0,0,0,0
S_0072,S_0072_W01,R2,1,18,0,18,0,0,18,0,0,0,0
S_0073,S_0073_W01,R3,1,16,0,8,0,8,8,0,0,0,0
S_0074,S_0074_W01,R3,1,20,0,10,0,10,10,0,0,0,0
S_0075,S_0075_W01,R3,1,24,0,12,0,12,12,0,0,0,0
S_0076,S_0076_W01,R3,1,30,0,15,0,15,15,0,0,0,0
S_0077,S_0077_W01,R3,1,18,0,9,0,9,9,0,0,0,0
S_0078,S_0078_W01,R3,1,22,0,11,0,11,11,0,0,0,0
S_0079,S_0079_W01,R4,1,16,8,0,8,0,0,0,0,0,0
S_0080,S_0080_W01,R4,1,20,10,0,10,0,0,0,0,0,0
S_0081,S_0081_W01,R4,1,24,12,0,12,0,0,0,0,0,0
S_0082,S_0082_W01,R4,1,30,15,0,15,0,0,0,0,0,0
S_0083,S_0083_W01,R4,1,18,9,0,9,0,0,0,0,0,0
S_0084,S_0084_W01,R4,1,22,11,0,11,0,0,0,0,0,0
S_0085,S_0085_W01,R5,1,12,5,1,4,2,1,0,0,0,0
S_0086,S_0086_W01,R5,1,15,3,6,3,3,6,0,0,0,0
S_0087,S_0087_W01,R5,1,18,1,7,7,3,7,0,0,0,0
S_0088,S_0088_W01,R5,1,22,5,11,1,5,11,0,0,0,0
S_0089,S_0089_W01,R5,1,14,5,6,1,2,6,0,0,0,0
S_0090,S_0090_W01,R5,1,20,3,4,6,7,4,0,0,0,0
S_0091,S_0091_W01,R6,1,5,0,5,0,0,5,0,0,0,0
S_0092,S_0092_W01,R6,1,6,0,6,0,0,6,0,0,0,0
S_0093,S_0093_W01,R6,1,7,0,7,0,0,7,0,0,0,0
S_0094,S_0094_W01,R6,1,8,0,8,0,0,8,0,0,0,0
S_0095,S_0095_W01,R6,1,5,0,5,0,0,5,0,0,0,0
S_0096,S_0096_W01,R6,1,7,0,7,0,0,7,0,0,0,0
S_0097,S_0097_W01,R7,1,10,0,8,0,0,8,2,0,0,0
S_0098,S_0098_W01,R7,1,15,0,12,0,0,12,3,0,0,0
S_0099,S_0099_W01,R7,1,16,0,12,0,0,12,4,0,0,0
S_0100,S_0100_W01,R7,1,18,0,15,0,0,15,3,0,0,0
S_0101,S_0101_W01,R7,1,20,0,15,0,0,15,5,0,0,0
S_0102,S_0102_W01,R7,1,12,0,10,0,0,10,2,0,0,0
S_0103,S_0103_W01,R8,1,13,0,10,0,0,10,0,3,3,2
S_0104,S_0104_W01,R8,1,16,0,12,0,0,12,0,4,4,3
S_0105,S_0105_W01,R8,1,20,0,15,0,0,15,0,5,5,3
S_0106,S_0106_W01,R8,1,21,0,18,0,0,18,0,3,3,2
S_0107,S_0107_W01,R8,1,15,0,11,0,0,11,0,4,4,3
S_0108,S_0108_W01,R8,1,19,0,14,0,0,14,0,5,5,4
S_0109,S_0109_W01,R9,1,12,0,8,0,0,8,2,2,2,2
S_0110,S_0110_W01,R9,1,16,0,10,0,0,10,3,3,3,2
S_0111,S_0111_W01,R9,1,19,0,12,0,0,12,4,3,3,2
S_0112,S_0112_W01,R9,1,22,0,15,0,0,15,3,4,4,2
S_0113,S_0113_W01,R9,1,14,0,9,0,0,9,3,2,2,1
S_0114,S_0114_W01,R9,1,16,0,11,0,0,11,2,3,3,1
S_0115,S_0115_W01,R10,1,10,0,0,0,10,0,0,0,0,0
S_0116,S_0116_W01,R10,1,14,0,0,0,14,0,0,0,0,0
S_0117,S_0117_W01,R10,1,18,0,0,0,18,0,0,0,0,0
S_0118,S_0118_W01,R10,1,22,0,0,0,22,0,0,0,0,0
S_0119,S_0119_W01,R10,1,12,0,0,0,12,0,0,0,0,0
S_0120,S_0120_W01,R10,1,16,0,0,0,16,0,0,0,0,0
